NOTE:  Columns 2-5 below contain the following output data 
 
    Column 2:   conditional probabilities P(at least one bank from G1 going default|all banks in G2 default)
    Column 3:   conditional probabilities P(at least one bank from G2 going default|all banks in G1 default)
    Column 4:   conditional probabilities P(all banks in G1 going default|all banks in G2 default)
    Column 5:   conditional probabilities P(all banks in G2 going default|all banks in G1 default)
 
where G1 is quadGroup1 defined in the setting file and G2 consists of all the banks not in G1. In this case
    G1=(DIA   &   SYS )
   G2=(HR)

  Date ,  P(at least one from G1 going default|G2 default),  P(at least one from G2 going default|G1 default),  P(G1 going default|G2 default),  P(G2 going default|G1 default) 
 05/05/2016,  0.518694398783778,  0.000605174425825804,  0.273748736024222,  0.000605174425825804, 
 06/05/2016,  0.523753423346901,  0.000370362616828807,  0.272051851651252,  0.000370362616828807, 
 07/05/2016,  0.549328907163048,  0.000574199663375298,  0.275158789941455,  0.000574199663375298, 
 08/05/2016,  0.55784713136274,  0.00555725912359633,  0.226667827879048,  0.00555725912359633, 
 09/05/2016,  0.603811811480318,  0.00540227510590256,  0.221461144500008,  0.00540227510590256, 
 10/05/2016,  0.467795075114415,  0.00597963601455826,  0.154774592179138,  0.00597963601455826, 
 11/05/2016,  0.434052019258043,  0.0052060999154295,  0.167585300041266,  0.0052060999154295, 
 12/05/2016,  0.4429547276879,  0.00511380547633377,  0.15395163794375,  0.00511380547633377, 
 13/05/2016,  0.399781231190737,  0.00339081104994719,  0.145213292657039,  0.00339081104994719, 
 14/05/2016,  0.388650888844867,  0.00445973489050667,  0.134528476744447,  0.00445973489050667, 
 15/05/2016,  0.462113423346283,  0.00267167678810186,  0.149948438657845,  0.00267167678810186, 
 16/05/2016,  0.32289632523699,  0.00373464718761122,  0.118183735357891,  0.00373464718761122, 
 17/05/2016,  0.303579660109369,  0.00210555526220039,  0.115808566852453,  0.00210555526220039, 
 18/05/2016,  0.308460566184976,  0.00127722996488049,  0.126030485586041,  0.00127722996488049, 
 19/05/2016,  0.331735818208461,  0.00115099600201051,  0.110129475341452,  0.00115099600201051, 
 20/05/2016,  0.341211704595467,  0.00103416005344795,  0.114436033141307,  0.00103416005344795, 
 21/05/2016,  0.342088251737547,  0.000791231685469896,  0.114301295297599,  0.000791231685469896, 
 22/05/2016,  0.344607828684657,  0.00124406237711593,  0.09598872456597,  0.00124406237711593, 
 23/05/2016,  0.336636749546362,  0.00143029037736877,  0.0919446191054969,  0.00143029037736877, 
 24/05/2016,  0.328977798053546,  0.0205814039903241,  0.0869114300283826,  0.0205814039903241, 
 25/05/2016,  0.289482903866488,  0.0260433277008895,  0.0515768854338901,  0.0260433277008895, 
 26/05/2016,  0.237146703199849,  0.0276691177710552,  0.0292146792735302,  0.0276691177710552, 
 27/05/2016,  0.21654781330881,  0.0961977131480881,  0.0238403240254877,  0.0961977131480881, 
 28/05/2016,  0.14656227016269,  0.105780140859986,  0.0128945754876704,  0.105780140859986, 
 29/05/2016,  0.104521265688354,  0.105668239892293,  0.00573579201680393,  0.105668239892293, 
 30/05/2016,  0.0671395494173705,  0.177122714985444,  0.00516466431306961,  0.177122714985444, 
 31/05/2016,  0.0315597857887158,  0.191263540305729,  0.00193796177227299,  0.191263540305729, 
 01/06/2016,  0.199185614694923,  0.173277172845485,  0.00654019744389901,  0.173277172845485, 
 02/06/2016,  0.200053584231922,  0.163974870509959,  0.0130362690118186,  0.163974870509959, 
 03/06/2016,  0.192334262237183,  0.154873448553884,  0.0277332248338721,  0.154873448553884, 
 04/06/2016,  0.267902406703882,  0.14579432801653,  0.0549074262411099,  0.14579432801653, 
 05/06/2016,  0.277166630492133,  0.154615008546665,  0.0563721837924104,  0.154615008546665, 
 06/06/2016,  0.256360823030151,  0.149525746756758,  0.0595868133526857,  0.149525746756758, 
