NOTE:  Columns 2-5 below contain the following output data 
 
    Column 2:   conditional probabilities P(at least one bank from G1 going default|all banks in G2 default)
    Column 3:   conditional probabilities P(at least one bank from G2 going default|all banks in G1 default)
    Column 4:   conditional probabilities P(all banks in G1 going default|all banks in G2 default)
    Column 5:   conditional probabilities P(all banks in G2 going default|all banks in G1 default)
 
where G1 is quadGroup1 defined in the setting file and G2 consists of all the banks not in G1. In this case
    G1=(rate_adj.00691212   &   rate_adj.00593038   &   rate_adj.00604611   &   rate_adj.00695437   &   rate_adj.00662577 )
   G2=(rate_adj.00224014   &   rate_adj.00585018   &   rate_adj.00566018   &   rate_adj.01081165   &   rate_adj.00767012)

  Date ,  P(at least one from G1 going default|G2 default),  P(at least one from G2 going default|G1 default),  P(G1 going default|G2 default),  P(G2 going default|G1 default) 
 21/05/2003,  0.996562854573408,  0.917601284415925,  0.812718324117682,  0.138308807811479, 
 22/05/2003,  0.996656415705648,  0.916399418468578,  0.813358316147118,  0.13869743077925, 
 25/05/2003,  0.996388205610083,  0.923150295838654,  0.821050055651697,  0.147420020952673, 
 26/05/2003,  0.996276881699353,  0.924782313689341,  0.817545564224701,  0.138425612899666, 
 27/05/2003,  0.996311362677541,  0.924214479237828,  0.822104386796244,  0.137676712056127, 
 28/05/2003,  0.9964748791275,  0.920896130533353,  0.825604433703937,  0.125309427400969, 
 29/05/2003,  0.996367487628959,  0.921741172346972,  0.822791170824599,  0.1083615305354, 
 01/06/2003,  0.996385044025025,  0.921820048056115,  0.824398163092718,  0.106374552125957, 
 02/06/2003,  0.996813097926656,  0.916087347009229,  0.833815715122211,  0.0995253667652061, 
 03/06/2003,  0.996764834634384,  0.916866884249927,  0.830778382413644,  0.0986809671846504, 
 04/06/2003,  0.996597808246829,  0.925469898389257,  0.833027332945124,  0.0831683608461434, 
 08/06/2003,  0.996858877037977,  0.922959438813426,  0.830145021465568,  0.0846903200052126, 
 09/06/2003,  0.99669414302355,  0.924625828679992,  0.820954786134413,  0.079884615358349, 
 10/06/2003,  0.996586998539136,  0.931084521686193,  0.827107208820875,  0.0810059255019631, 
 11/06/2003,  0.996399459143609,  0.934789818178973,  0.825344760611481,  0.0798634842039313, 
 12/06/2003,  0.996465737557757,  0.934135889202186,  0.824189122773597,  0.0778418361188427, 
 15/06/2003,  0.996466567033831,  0.934898989580492,  0.82385901739657,  0.0769105161689377, 
 16/06/2003,  0.996301617130487,  0.936093040593526,  0.829002937418135,  0.0769581193412061, 
 17/06/2003,  0.996211443951094,  0.936764026585354,  0.825271531623673,  0.0667801097415636, 
 18/06/2003,  0.995883971316739,  0.94195072292232,  0.823773183451827,  0.0586790050597046, 
 19/06/2003,  0.995792835812189,  0.942662024731196,  0.820556598527408,  0.0619924362589708, 
 22/06/2003,  0.995213866558365,  0.947813274571953,  0.80544875803709,  0.0594329050528954, 
 23/06/2003,  0.995713700883783,  0.942665728972961,  0.808419409834383,  0.0578476665437642, 
 24/06/2003,  0.99565571410522,  0.942690122474827,  0.807838686098278,  0.0442956429420799, 
 25/06/2003,  0.995779669960736,  0.943356540942077,  0.819446953351347,  0.0411143769903905, 
 26/06/2003,  0.996018210669828,  0.941102900322445,  0.823379681769537,  0.0440171922752618, 
 29/06/2003,  0.996003430540879,  0.940307542181677,  0.82183226197629,  0.0436519482813872, 
 30/06/2003,  0.996643814073626,  0.93067923098599,  0.826881567145537,  0.0565281044092085, 
 01/07/2003,  0.996618036229218,  0.931186196161799,  0.824978373158944,  0.0618215164851125, 
 02/07/2003,  0.996387928482737,  0.93390654282801,  0.819156341498529,  0.0638522186740229, 
 03/07/2003,  0.996424529159462,  0.933680714987363,  0.812348002554316,  0.0672269381222891, 
 06/07/2003,  0.996542533266016,  0.9289576113556,  0.805276554228164,  0.0698627636143705, 
 07/07/2003,  0.996286379956099,  0.930505778300815,  0.802213510394818,  0.0739714856997967, 
 08/07/2003,  0.995981394626055,  0.937067418318052,  0.80128253289877,  0.0906916307337601, 
 09/07/2003,  0.996349569178479,  0.927466160070591,  0.809916326252239,  0.0868134330908058, 
 10/07/2003,  0.996254668219072,  0.930112734551361,  0.809067939110928,  0.0912068570649302, 
 13/07/2003,  0.996027232981106,  0.933882965104148,  0.803419235740601,  0.0968305148939859, 
 14/07/2003,  0.995909362526122,  0.933534398024255,  0.795743867782546,  0.0971769780580566, 
 15/07/2003,  0.995461587995114,  0.938705944173779,  0.799871201517564,  0.1195585382963, 
 16/07/2003,  0.995521292322854,  0.939121178363073,  0.792048268945155,  0.124010357429368, 
 17/07/2003,  0.995607311307936,  0.93854815451815,  0.790983156884521,  0.129130958217529, 
 20/07/2003,  0.995284474606817,  0.941016921502934,  0.787398040901094,  0.147341442278818, 
 21/07/2003,  0.995146653770669,  0.943699613295117,  0.793354959581617,  0.160097604098253, 
 22/07/2003,  0.99542631603587,  0.939353812329645,  0.794908623756903,  0.157847280619172, 
 23/07/2003,  0.995525174203912,  0.938151784718076,  0.797895003070629,  0.160861595532518, 
 24/07/2003,  0.995512520275647,  0.938437462031616,  0.783824649994903,  0.161282872825362, 
 27/07/2003,  0.995688993025058,  0.933399134838351,  0.788600260895882,  0.159796109320727, 
 28/07/2003,  0.995595872292106,  0.9334042116028,  0.784443595435515,  0.160883075489838, 
 29/07/2003,  0.995696547677577,  0.933426488995549,  0.790083787329373,  0.162967471105851, 
 30/07/2003,  0.995445843825389,  0.938695785925814,  0.792653032015576,  0.177687263572858, 
 31/07/2003,  0.995533300833446,  0.939134321855224,  0.80365132900034,  0.173924113276723, 
 03/08/2003,  0.995917537827081,  0.939311878462229,  0.810209245370081,  0.188766358110484, 
 04/08/2003,  0.995745502641819,  0.942686386729157,  0.793323313058684,  0.200599433363043, 
 05/08/2003,  0.995638124907302,  0.93851393371881,  0.796874963837046,  0.187695503476577, 
 06/08/2003,  0.995635003314229,  0.938775318500857,  0.803270496172436,  0.191678388192138, 
 10/08/2003,  0.995882372249399,  0.940512309897389,  0.811281549132043,  0.212670155509225, 
 11/08/2003,  0.995849824440714,  0.939307300789745,  0.816138673593269,  0.201064023703005, 
 12/08/2003,  0.996109999477455,  0.934161433538918,  0.817334635578954,  0.195103513402016, 
 13/08/2003,  0.996112597054034,  0.933906331060211,  0.814966488905303,  0.199678164729972, 
 14/08/2003,  0.996093504702808,  0.933970247707174,  0.818711818794782,  0.205554090492626, 
 17/08/2003,  0.995922076808838,  0.935201396152987,  0.812473575570073,  0.214222596856407, 
 18/08/2003,  0.995520589825253,  0.93941033123292,  0.808395696426489,  0.225055261942295, 
 19/08/2003,  0.99521067792109,  0.941073793688902,  0.796071787023423,  0.213953897437047, 
 20/08/2003,  0.995168255724359,  0.943714560621955,  0.79588154476239,  0.220531385598844, 
 21/08/2003,  0.99496633743686,  0.944052840717804,  0.793438836898338,  0.215404250175721, 
 24/08/2003,  0.994728847698915,  0.947435502721528,  0.787315044767999,  0.21976412334249, 
 25/08/2003,  0.994561312951102,  0.949105410604931,  0.786580072151605,  0.217628110863697, 
 26/08/2003,  0.994401825830442,  0.949820509837987,  0.781524157704495,  0.217082243012293, 
 27/08/2003,  0.993884057405689,  0.952464125431037,  0.774563207249085,  0.216363543783581, 
 28/08/2003,  0.994043240302156,  0.951600231799506,  0.771461009022285,  0.211309340287655, 
 31/08/2003,  0.99400155008273,  0.951824399864634,  0.772324207364353,  0.195473427598001, 
 01/09/2003,  0.993633173967795,  0.95368877342177,  0.77796354084719,  0.201409835221173, 
 02/09/2003,  0.993585858786924,  0.95425991995145,  0.777516746623903,  0.199957952158862, 
 03/09/2003,  0.99386290585019,  0.952055697780731,  0.780244446245857,  0.205333963642415, 
 04/09/2003,  0.99396537219618,  0.951896414536947,  0.785621477015526,  0.205719814379847, 
 07/09/2003,  0.994492160081179,  0.949418848890732,  0.79982207634719,  0.208511547270731, 
 08/09/2003,  0.994298746241659,  0.948811306431119,  0.803115685741334,  0.19764726732618, 
 09/09/2003,  0.993687413760134,  0.954202192153968,  0.797072149368553,  0.223955137292821, 
 10/09/2003,  0.993671032317335,  0.954988056045798,  0.791115449050811,  0.225584737818334, 
 11/09/2003,  0.993611821627718,  0.955819902521498,  0.79251187635862,  0.236231372253871, 
 14/09/2003,  0.993399012926345,  0.95676639295034,  0.789452419748114,  0.242780203185111, 
 15/09/2003,  0.993437354425834,  0.955878421687983,  0.790036311039543,  0.234265904332235, 
 16/09/2003,  0.993562733213328,  0.954492809413624,  0.788500850840988,  0.230657105420374, 
 17/09/2003,  0.992888055521472,  0.958492461920406,  0.783186199228519,  0.233918208050562, 
 18/09/2003,  0.993170889933341,  0.957047189405669,  0.789583532728537,  0.241052528524089, 
 21/09/2003,  0.993065077599335,  0.95663504665185,  0.780438216259801,  0.244998340124901, 
 22/09/2003,  0.993087810549577,  0.956577471494526,  0.784107692172301,  0.243626805416357, 
 23/09/2003,  0.993050076578424,  0.955189103870372,  0.775263284909414,  0.232267236547192, 
 24/09/2003,  0.992886773149493,  0.954144751264669,  0.764895266751247,  0.230251838511763, 
 25/09/2003,  0.992777422333783,  0.955372499336135,  0.76186154006995,  0.22293590566076, 
 29/09/2003,  0.992533116835441,  0.956215366518437,  0.765996267085097,  0.229993671259945, 
 30/09/2003,  0.99252334759644,  0.957213180643074,  0.765155439161694,  0.226764469469336, 
 01/10/2003,  0.99256861845372,  0.957920788912238,  0.770432160106211,  0.244435168406623, 
 02/10/2003,  0.992218925912747,  0.959340240209222,  0.760162635331941,  0.253688891615692, 
 07/10/2003,  0.992091463636409,  0.959768251108321,  0.76159085900115,  0.260225325299458, 
 08/10/2003,  0.99111882518515,  0.963459509793943,  0.759523093585015,  0.297803235913987, 
 09/10/2003,  0.991195497951575,  0.962227981708403,  0.752901368574129,  0.301489035836563, 
 12/10/2003,  0.990921859204507,  0.96291692919389,  0.75541698088819,  0.308120041711186, 
 13/10/2003,  0.990412986778743,  0.965444504236476,  0.753823398684943,  0.322899157321253, 
 14/10/2003,  0.989903085628606,  0.967632553875831,  0.75246235385907,  0.330755629066536, 
 15/10/2003,  0.988204505816374,  0.970573386733482,  0.745978743992419,  0.3541744638919, 
 16/10/2003,  0.98782561756786,  0.971061938301869,  0.750762608029998,  0.35377164918145, 
 19/10/2003,  0.987650492420817,  0.971283166633425,  0.749694940952614,  0.356099669698754, 
 20/10/2003,  0.987081847349654,  0.972491751376605,  0.748207422630529,  0.362325298426852, 
 21/10/2003,  0.987365531664785,  0.971893274956841,  0.748642986709227,  0.361565418351344, 
 22/10/2003,  0.987589454832269,  0.971422552764359,  0.748533265806261,  0.358154008667553, 
 23/10/2003,  0.987732835793904,  0.971008664556539,  0.746248578689076,  0.36728017113318, 
 26/10/2003,  0.988297529803806,  0.969946702924835,  0.757192597639371,  0.359691839936627, 
 27/10/2003,  0.988058762606936,  0.970102420063926,  0.755327135674993,  0.370651669678223, 
 28/10/2003,  0.98781689445358,  0.970850538668263,  0.754141953276303,  0.374109366630258, 
 29/10/2003,  0.987491665456174,  0.971865949267597,  0.751946935925987,  0.381200919072288, 
 30/10/2003,  0.988834239723298,  0.969730175784109,  0.760075638687474,  0.374042561057511, 
 02/11/2003,  0.988998770630328,  0.96919884281893,  0.76063091892767,  0.370194688422815, 
 03/11/2003,  0.988942793868315,  0.969307864257451,  0.757964787082377,  0.369782762662177, 
 04/11/2003,  0.98868467158798,  0.969839134707592,  0.762794401217998,  0.365127252818801, 
 05/11/2003,  0.988028591157108,  0.969916885628891,  0.76155677558532,  0.376561575619772, 
 06/11/2003,  0.98809224011816,  0.969599799920033,  0.759998775931689,  0.369853506567734, 
 09/11/2003,  0.987658335357335,  0.9693725568431,  0.753546505465013,  0.369288224399202, 
 10/11/2003,  0.986434761056361,  0.971302947597756,  0.751065067832066,  0.367011196142581, 
 11/11/2003,  0.987825762570196,  0.968865550153153,  0.758701742206719,  0.336084454674063, 
 12/11/2003,  0.987559763279453,  0.968980944168652,  0.756584906277982,  0.338659689498103, 
 13/11/2003,  0.986827259661593,  0.970537869702655,  0.751692596565861,  0.34721622767621, 
 16/11/2003,  0.986273708817388,  0.971240154659581,  0.746862114990807,  0.351598384689007, 
 17/11/2003,  0.987436060251337,  0.967004732533412,  0.75443509190727,  0.33914048363488, 
 18/11/2003,  0.987122931107387,  0.966652432814551,  0.754349112241429,  0.333721811452555, 
 19/11/2003,  0.988446260808006,  0.960524097589172,  0.765889477834682,  0.304949553546524, 
 20/11/2003,  0.988149913396556,  0.962604895656031,  0.776967516159212,  0.302085507300079, 
 23/11/2003,  0.987958179040677,  0.962090493855646,  0.77663623623511,  0.300077232404088, 
 24/11/2003,  0.988357222243213,  0.960743850612529,  0.778374376143109,  0.303644066820679, 
 25/11/2003,  0.988236439102805,  0.961357161319533,  0.780648265593895,  0.311313847155566, 
 26/11/2003,  0.987443523340806,  0.96373664686552,  0.772583818454962,  0.318381175572886, 
 27/11/2003,  0.987182508006459,  0.964425717378176,  0.771034202802115,  0.322605674554296, 
 30/11/2003,  0.986576780526695,  0.966310303040282,  0.768663911127102,  0.328409358145968, 
 01/12/2003,  0.984536492170084,  0.968647881435244,  0.761540829162313,  0.347063896990151, 
 02/12/2003,  0.984441127824925,  0.96974557842871,  0.763959280606991,  0.357798364837634, 
