NOTE:  Columns 2-5 below contain the following output data 
 
    Column 2:   conditional probabilities P(at least one bank from G1 going default|all banks in G2 default)
    Column 3:   conditional probabilities P(at least one bank from G2 going default|all banks in G1 default)
    Column 4:   conditional probabilities P(all banks in G1 going default|all banks in G2 default)
    Column 5:   conditional probabilities P(all banks in G2 going default|all banks in G1 default)
 
where G1 is quadGroup1 defined in the setting file and G2 consists of all the banks not in G1. In this case
    G1=(DIA   &   SYS )
   G2=(HR)

  Date ,  P(at least one from G1 going default|G2 default),  P(at least one from G2 going default|G1 default),  P(G1 going default|G2 default),  P(G2 going default|G1 default) 
 04/04/2016,  0.0172895477426185,  0.541947620684113,  0.000143560754118408,  0.541947620684113, 
 05/04/2016,  0.0802811198779255,  0.556054956193359,  0.0013590175942561,  0.556054956193359, 
 06/04/2016,  0.0609922161191953,  0.597129105622744,  0.00197598156036965,  0.597129105622744, 
 07/04/2016,  0.137844241682171,  0.61851592289946,  0.0033071294629378,  0.61851592289946, 
 08/04/2016,  0.168030882132874,  0.627438743139023,  0.00717724530023571,  0.627438743139023, 
 09/04/2016,  0.287449953718176,  0.598349664807597,  0.0197566619847577,  0.598349664807597, 
 10/04/2016,  0.241643575780298,  0.569923665729263,  0.0182287651407963,  0.569923665729263, 
 11/04/2016,  0.290289374392668,  0.557124181251699,  0.0132643010812502,  0.557124181251699, 
 12/04/2016,  0.290771184556164,  0.586146585736834,  0.0115202843915124,  0.586146585736834, 
 13/04/2016,  0.335249994126607,  0.579014443308097,  0.0213814047202971,  0.579014443308097, 
 14/04/2016,  0.263833385795922,  0.67479588568664,  0.0211626559889133,  0.67479588568664, 
 15/04/2016,  0.264764450039517,  0.683127892491194,  0.0254187977071313,  0.683127892491194, 
 16/04/2016,  0.263484740942579,  0.682172338264008,  0.0254211198846875,  0.682172338264008, 
 17/04/2016,  0.264244425908469,  0.682179770754123,  0.0272594836436115,  0.682179770754123, 
 18/04/2016,  0.297930277773728,  0.681392982293966,  0.0448865165053817,  0.681392982293966, 
 19/04/2016,  0.289256179300996,  0.695005020448817,  0.0746689153071327,  0.695005020448817, 
 20/04/2016,  0.29692875202474,  0.704984461861471,  0.0849167303532935,  0.704984461861471, 
 21/04/2016,  0.289671831526075,  0.716292202799031,  0.0848916326826313,  0.716292202799031, 
 22/04/2016,  0.298976321406477,  0.708336058004671,  0.0928558037142563,  0.708336058004671, 
 23/04/2016,  0.436453532261194,  0.629442021369022,  0.131020805262958,  0.629442021369022, 
 24/04/2016,  0.497607225714281,  0.584711286063336,  0.170407867631927,  0.584711286063336, 
 25/04/2016,  0.4537611227801,  0.628228497440957,  0.178942297240794,  0.628228497440957, 
 26/04/2016,  0.495321832427063,  0.564913307887113,  0.189691575143302,  0.564913307887113, 
 27/04/2016,  0.523282939745512,  0.489083872895738,  0.2103167069182,  0.489083872895738, 
 28/04/2016,  0.485263448776388,  0.502630703253098,  0.210634277912344,  0.502630703253098, 
 29/04/2016,  0.55655091014201,  0.469111942786706,  0.209422280954294,  0.469111942786706, 
 30/04/2016,  0.554393350134095,  0.474603127040729,  0.206924272055577,  0.474603127040729, 
 01/05/2016,  0.541212355872551,  0.489934768919171,  0.204109502443834,  0.489934768919171, 
 02/05/2016,  0.549396328003189,  0.484626530657478,  0.214846555669058,  0.484626530657478, 
 03/05/2016,  0.542995195702273,  0.497038034045724,  0.209878397682762,  0.497038034045724, 
 04/05/2016,  0.579895941602777,  0.470709381064044,  0.181062309752244,  0.470709381064044, 
 05/05/2016,  0.46484239692218,  0.530920556598975,  0.150875966795152,  0.530920556598975, 
 06/05/2016,  0.471309478554064,  0.5741662798621,  0.122972831161531,  0.5741662798621, 
 07/05/2016,  0.383621516240254,  0.578847057949478,  0.123640572428837,  0.578847057949478, 
 08/05/2016,  0.32698052255129,  0.623641805066072,  0.107649563558885,  0.623641805066072, 
 09/05/2016,  0.223755801238248,  0.647472276872791,  0.0748393276194184,  0.647472276872791, 
 10/05/2016,  0.236769231149929,  0.614747752451219,  0.0849849574809308,  0.614747752451219, 
 11/05/2016,  0.222265451639504,  0.561383752959563,  0.0801372073853554,  0.561383752959563, 
 12/05/2016,  0.241839634253521,  0.523578865321378,  0.088707387592908,  0.523578865321378, 
 13/05/2016,  0.208959941194905,  0.524377184739318,  0.0708539023917571,  0.524377184739318, 
 14/05/2016,  0.236182266468825,  0.421687097327906,  0.0803799538820935,  0.421687097327906, 
 15/05/2016,  0.297783233581722,  0.385841402672921,  0.0954381926676601,  0.385841402672921, 
 16/05/2016,  0.317658792606119,  0.366075481906923,  0.1235426657943,  0.366075481906923, 
 17/05/2016,  0.364019357105785,  0.35290762890544,  0.133231250962884,  0.35290762890544, 
 18/05/2016,  0.342645968386835,  0.294156450199036,  0.120182432578909,  0.294156450199036, 
 19/05/2016,  0.343088049120916,  0.254420866336922,  0.0806853248075153,  0.254420866336922, 
 20/05/2016,  0.402003349298717,  0.144896936161241,  0.129789017704189,  0.144896936161241, 
 21/05/2016,  0.418766688963633,  0.114428431045471,  0.15115080902466,  0.114428431045471, 
 22/05/2016,  0.416320631560907,  0.110164422909881,  0.139745103353664,  0.110164422909881, 
 23/05/2016,  0.230259482999977,  0.234905289203351,  0.0820866351416129,  0.234905289203351, 
 24/05/2016,  0.172406764700913,  0.28585840804181,  0.0526089740145552,  0.28585840804181, 
 25/05/2016,  0.167983217150586,  0.258467144955556,  0.0469030337293321,  0.258467144955556, 
